# seed_hash: 0000000278A92875
# sample_index: 189
# arrangement: benzene_nitration_std_mod
# equation: C6H6 + HNO3 -> C6H5NO2 + H2O  [H2SO4 catalyst]
# tau_drawn: 75.296
# g_steric_drawn: 0.128845
# g_elec_drawn: -0.130205
# g_disp_drawn: 0.470706
# temperature_K: 291.347
# dt_drawn: 0.438912
# N_beads: 41
# total_mass_amu: 380.324
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.00000000,377251082041752768.00000000,1737637897.04421449,3131428325.87375069,0.219456,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,41,0
1,-0.00000000,0.00000000,0.00000000,0.00000000,0.109728,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,41,1
