# seed_hash: 00000009E340046C
# sample_index: 90
# arrangement: thorium_oxalate_hot_mod
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 39.8973
# g_steric_drawn: 0.200599
# g_elec_drawn: -0.204811
# g_disp_drawn: 0.336683
# temperature_K: 496.059
# dt_drawn: 0.51419
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,0.40714676,1518565563758513360096722944.00000000,122006643111767.09375000,615074962522053.25000000,0.257095,0.01068955,0.21568627,0.00000000,0.00000549,0.00085516,0.00025890,1.00000110,0.99999887,1.00000185,0,0,0,0,102,0
1,-0.00000000,1237277583237407963497889792.00000000,0.67854735,4.84653888,0.257095,0.00000000,0.00000000,0.00000000,0.00000546,0.00000000,0.00000166,1.00000109,0.99999888,1.00000184,0,0,0,0,102,0
2,-0.00000000,0.00000000,0.00000000,0.00000000,0.128547,0.00000000,0.00000000,0.00000000,0.00000544,0.00000000,0.00000083,1.00000109,0.99999889,1.00000183,0,0,0,0,102,1
