# seed_hash: 00000010AFC47FD1
# sample_index: 48
# arrangement: copper_decomposition_hot_strong_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 73.4016
# g_steric_drawn: 0.571074
# g_elec_drawn: -0.139382
# g_disp_drawn: 1.0971
# temperature_K: 472.24
# dt_drawn: 0.467839
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42712351,70212084765.88375854,2603266.07541881,4299776.43780667,0.233920,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03337913,58240916226.79847717,0.03899524,0.07622119,0.233920,0.01282038,0.25000000,0.00000000,0.00000245,0.00076922,0.00000981,1.00000140,0.99999966,1.00000269,0,0,0,0,24,0
2,-0.00000000,47733735607.61991119,0.00456473,0.00913924,0.233920,0.00000000,0.00000000,0.00000000,0.00000244,0.00000000,0.00000003,1.00000139,0.99999966,1.00000268,0,0,0,0,24,1
