# seed_hash: 000000128AA55670
# sample_index: 60
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 63.4918
# g_steric_drawn: 0.618242
# g_elec_drawn: -0.254399
# g_disp_drawn: 1.0722
# temperature_K: 535.333
# dt_drawn: 0.508226
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42716335,82857811716.52366638,2603266.07541881,4299776.43780667,0.254113,0.00000003,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03761406,68730401747.01637268,0.03900028,0.07623503,0.254113,0.01570431,0.25000000,0.00000000,0.00000376,0.00094226,0.00001508,1.00000233,0.99999904,1.00000404,0,0,0,0,24,0
2,-0.00000000,56330801523.88701630,0.00523883,0.01049346,0.254113,0.00000000,0.00000000,0.00000000,0.00000375,0.00000000,0.00000006,1.00000232,0.99999905,1.00000402,0,0,0,0,24,1
