# seed_hash: 00000008A753D048
# sample_index: 148
# arrangement: thorium_oxalate_std_strong
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 70.494
# g_steric_drawn: 0.508315
# g_elec_drawn: -0.370603
# g_disp_drawn: 0.596714
# temperature_K: 275.363
# dt_drawn: 0.477847
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.29252536,1311489802098064943229173760.00000000,122006643111767.09375000,615074962522053.25000000,0.238924,0.01144791,0.23529412,0.00000000,0.00000310,0.00091583,0.00014921,1.00000158,0.99999885,1.00000185,0,0,0,0,102,0
1,-0.32531718,0.00868835,0.21945511,1.57150699,0.119462,0.01136783,0.23529412,0.00000000,0.00000463,0.00090943,0.00007386,1.00000236,0.99999828,1.00000276,0,0,0,0,102,0
2,-0.37733886,0.03096335,0.19483425,1.39557041,0.119462,0.01121757,0.25490196,0.00000000,0.00000615,0.00089741,0.00007270,1.00000312,0.99999772,1.00000367,0,0,0,0,102,0
3,-0.43116120,0.05835154,0.15443081,1.10679268,0.119462,0.01101337,0.27450980,0.00000000,0.00000763,0.00088107,0.00007116,1.00000388,0.99999717,1.00000455,0,0,0,0,102,0
4,-0.47456965,0.08309655,0.10987897,0.78819432,0.119462,0.01077319,0.27450980,0.00000000,0.00000907,0.00086186,0.00006937,1.00000461,0.99999664,1.00000541,0,0,0,0,102,0
5,-0.50301277,0.10116582,0.06979069,0.50110288,0.119462,0.01051353,0.27450980,0.00000000,0.00001048,0.00084108,0.00006745,1.00000533,0.99999612,1.00000625,0,0,0,0,102,0
6,-0.51733712,0.11217312,0.03812466,0.27322295,0.119462,0.01024863,0.27450980,0.00000000,0.00001185,0.00081989,0.00006548,1.00000602,0.99999561,1.00000707,0,0,0,0,102,0
7,-0.52072040,0.11932627,0.01590241,0.10900439,0.131408,0.00996941,0.27450980,0.00000000,0.00001332,0.00079755,0.00006970,1.00000677,0.99999507,1.00000795,0,0,0,0,102,1
