# seed_hash: 000000181A7837C8
# sample_index: 19
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 55.4578
# g_steric_drawn: 0.545468
# g_elec_drawn: -0.240751
# g_disp_drawn: 1.1053
# temperature_K: 799.954
# dt_drawn: 0.425081
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42708591,57964457171.59735870,2603266.07541881,4299776.43780667,0.212540,0.00000001,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.02981144,48081607604.45434570,0.03899036,0.07620778,0.212540,0.00942091,0.25000000,0.00000000,0.00000216,0.00056525,0.00000867,1.00000118,0.99999948,1.00000239,0,0,0,0,24,0
2,-0.00000000,39407263450.72641754,0.00400221,0.00801021,0.212540,0.00000000,0.00000000,0.00000000,0.00000215,0.00000000,0.00000003,1.00000117,0.99999948,1.00000238,0,0,0,0,24,1
