# seed_hash: 000000163FDE3467
# sample_index: 31
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 52.8135
# g_steric_drawn: 0.571305
# g_elec_drawn: -0.235987
# g_disp_drawn: 1.03506
# temperature_K: 657.266
# dt_drawn: 0.485876
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42714084,75730401967.81555176,2603266.07541881,4299776.43780667,0.242938,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03515551,62818302475.82373810,0.03899744,0.07622722,0.242938,0.01419782,0.25000000,0.00000000,0.00000391,0.00085187,0.00001567,1.00000223,0.99999908,1.00000405,0,0,0,0,24,0
2,-0.00000000,51485312182.82602692,0.00484630,0.00970474,0.242938,0.00000000,0.00000000,0.00000000,0.00000389,0.00000000,0.00000007,1.00000222,0.99999908,1.00000403,0,0,0,0,24,1
