# seed_hash: 0000000945722E12
# sample_index: 81
# arrangement: thorium_oxalate_hot_weak
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 16.3764
# g_steric_drawn: 0.140451
# g_elec_drawn: -0.126611
# g_disp_drawn: 0.0801856
# temperature_K: 448.526
# dt_drawn: 0.504944
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,0.84658991,1464445660210175700992262144.00000000,122006643111767.09375000,615074962522053.25000000,0.252472,0.01093943,0.21568627,0.00000000,0.00001339,0.00087515,0.00063500,1.00000188,0.99999830,1.00000107,0,0,0,0,102,0
1,-0.00000000,1193178343655323853635190784.00000000,0.96588800,6.89792433,0.252472,0.00000000,0.00000000,0.00000000,0.00001318,0.00000000,0.00000971,1.00000185,0.99999833,1.00000106,0,0,0,0,102,0
2,-0.00000000,0.00000000,0.00000000,0.00000000,0.126236,0.00000000,0.00000000,0.00000000,0.00001308,0.00000000,0.00000480,1.00000184,0.99999834,1.00000105,0,0,0,0,102,1
