# seed_hash: 0000001A931136C9
# sample_index: 104
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 57.376
# g_steric_drawn: 0.756804
# g_elec_drawn: -0.15607
# g_disp_drawn: 1.10944
# temperature_K: 851.323
# dt_drawn: 0.432888
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42709235,60113097514.49841309,2603266.07541881,4299776.43780667,0.216444,0.00000001,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03039960,49863890497.80455017,0.03899122,0.07621013,0.216444,0.01003174,0.25000000,0.00000000,0.00000227,0.00060190,0.00000908,1.00000172,0.99999965,1.00000251,0,0,0,0,24,0
2,-0.00000000,40868007314.83715057,0.00409513,0.00819665,0.216444,0.00000000,0.00000000,0.00000000,0.00000226,0.00000000,0.00000003,1.00000171,0.99999965,1.00000250,0,0,0,0,24,1
