# seed_hash: 00000019F5799EA4
# sample_index: 156
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 63.68
# g_steric_drawn: 0.587256
# g_elec_drawn: -0.192789
# g_disp_drawn: 1.02846
# temperature_K: 902.559
# dt_drawn: 0.491864
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42714676,77608301864.01460266,2603266.07541881,4299776.43780667,0.245932,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03578486,64375998839.36788940,0.03899819,0.07622928,0.245932,0.01462871,0.25000000,0.00000000,0.00000338,0.00087772,0.00001356,1.00000199,0.99999935,1.00000348,0,0,0,0,24,0
2,-0.00000000,52761982811.37092590,0.00494645,0.00990593,0.245932,0.00000000,0.00000000,0.00000000,0.00000337,0.00000000,0.00000005,1.00000198,0.99999935,1.00000347,0,0,0,0,24,1
