# seed_hash: 0000000B1FDC966A
# sample_index: 94
# arrangement: copper_decomposition_cold_weak
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 12.4176
# g_steric_drawn: 0.1245
# g_elec_drawn: -0.0773876
# g_disp_drawn: 0.277547
# temperature_K: 281.56
# dt_drawn: 0.426338
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42708693,58307834065.35752869,2603266.07541881,4299776.43780667,0.213169,0.00000001,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.02990428,48366436543.52564240,0.03899050,0.07620816,0.213169,0.00951852,0.25000000,0.00000000,0.00000972,0.00057111,0.00003896,1.00000121,0.99999925,1.00000270,0,0,0,0,24,0
2,-0.00000000,39640706909.33755493,0.00401691,0.00803971,0.213169,0.00000000,0.00000000,0.00000000,0.00000955,0.00000000,0.00000066,1.00000119,0.99999926,1.00000265,0,0,0,0,24,1
