# seed_hash: 00000009E378E865
# sample_index: 25
# arrangement: thorium_oxalate_hot_mod
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 42.9863
# g_steric_drawn: 0.233581
# g_elec_drawn: -0.27069
# g_disp_drawn: 0.286511
# temperature_K: 486.143
# dt_drawn: 0.4821
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.09812390,1334938717443662620527689728.00000000,122006643111767.09375000,615074962522053.25000000,0.241050,0.01152008,0.23529412,0.00000000,0.00000515,0.00092161,0.00024779,1.00000120,0.99999860,1.00000148,0,0,0,0,102,0
1,-0.18206162,0.02294686,0.35343596,2.52713018,0.120525,0.01138482,0.23529412,0.00000000,0.00000769,0.00091079,0.00012183,1.00000180,0.99999792,1.00000220,0,0,0,0,102,0
2,-0.30066884,0.07711387,0.29448121,2.10599173,0.120525,0.01113876,0.25490196,0.00000000,0.00001016,0.00089110,0.00011868,1.00000237,0.99999725,1.00000291,0,0,0,0,102,0
3,-0.40419685,0.13458477,0.20803657,1.48838937,0.120525,0.01081782,0.27450980,0.00000000,0.00001256,0.00086543,0.00011467,1.00000293,0.99999660,1.00000360,0,0,0,0,102,0
4,-0.47161757,0.17736977,0.12659386,0.90626208,0.120525,0.01045607,0.27450980,0.00000000,0.00001486,0.00083649,0.00011020,1.00000347,0.99999598,1.00000426,0,0,0,0,102,0
5,-0.50458278,0.20191156,0.06518723,0.46663401,0.120525,0.01007995,0.27450980,0.00000000,0.00001708,0.00080640,0.00010557,1.00000399,0.99999538,1.00000489,0,0,0,0,102,0
6,-0.51299080,0.21324101,0.02492737,0.17566579,0.120525,0.00971110,0.27450980,0.00000000,0.00001921,0.00077689,0.00010098,1.00000449,0.99999480,1.00000550,0,0,0,0,102,1
