# seed_hash: 00000015A1CA8E0F
# sample_index: 154
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 56.7898
# g_steric_drawn: 0.512616
# g_elec_drawn: -0.206654
# g_disp_drawn: 1.13852
# temperature_K: 728.688
# dt_drawn: 0.452871
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42710975,65791185297.53815460,2603266.07541881,4299776.43780667,0.226435,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03203209,54573820438.10949707,0.03899348,0.07621635,0.226435,0.01162761,0.25000000,0.00000000,0.00000278,0.00069766,0.00001113,1.00000142,0.99999943,1.00000316,0,0,0,0,24,0
2,-0.00000000,44728221341.95644379,0.00435223,0.00871262,0.226435,0.00000000,0.00000000,0.00000000,0.00000277,0.00000000,0.00000004,1.00000142,0.99999943,1.00000315,0,0,0,0,24,1
