# seed_hash: 0000000BBE5D5562
# sample_index: 109
# arrangement: copper_decomposition_cold_mod
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 31.8616
# g_steric_drawn: 0.254659
# g_elec_drawn: -0.124056
# g_disp_drawn: 0.535327
# temperature_K: 246.793
# dt_drawn: 0.435091
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42709421,60726732299.60141754,2603266.07541881,4299776.43780667,0.217546,0.00000001,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03057065,50372896240.59511566,0.03899146,0.07621080,0.217546,0.01020597,0.25000000,0.00000000,0.00000417,0.00061236,0.00001670,1.00000106,0.99999948,1.00000223,0,0,0,0,24,0
2,-0.00000000,41285183871.45462036,0.00412209,0.00825075,0.217546,0.00000000,0.00000000,0.00000000,0.00000414,0.00000000,0.00000011,1.00000105,0.99999949,1.00000222,0,0,0,0,24,1
