# seed_hash: 00000009E33E10AB
# sample_index: 119
# arrangement: thorium_oxalate_hot_mod
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 35.3203
# g_steric_drawn: 0.231777
# g_elec_drawn: -0.0877649
# g_disp_drawn: 0.346046
# temperature_K: 542.301
# dt_drawn: 0.487619
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,0.22774666,1365676886148319923887144960.00000000,122006643111767.09375000,615074962522053.25000000,0.243809,0.01154853,0.23529412,0.00000000,0.00000636,0.00092388,0.00030492,1.00000147,0.99999944,1.00000220,0,0,0,0,102,0
1,0.01585530,0.06091637,0.56930065,4.06749023,0.121905,0.01132034,0.23529412,0.00000000,0.00000945,0.00090563,0.00014846,1.00000219,0.99999917,1.00000327,0,0,0,0,102,0
2,-0.23355261,0.18655073,0.42696905,3.05091403,0.121905,0.01092501,0.25490196,0.00000000,0.00001243,0.00087400,0.00014239,1.00000288,0.99999891,1.00000430,0,0,0,0,102,0
3,-0.40304230,0.29302651,0.25235560,1.80362832,0.121905,0.01043791,0.27450980,0.00000000,0.00001527,0.00083503,0.00013504,1.00000354,0.99999866,1.00000528,0,0,0,0,102,0
4,-0.48352776,0.35288931,0.12147099,0.86826595,0.121905,0.00991648,0.27450980,0.00000000,0.00001795,0.00079332,0.00012722,1.00000416,0.99999842,1.00000621,0,0,0,0,102,0
5,-0.50532544,0.37663986,0.04372668,0.31104804,0.121905,0.00939798,0.27450980,0.00000000,0.00002048,0.00075184,0.00011942,1.00000475,0.99999820,1.00000709,0,0,0,0,102,0
6,-0.49806587,0.38655846,0.00694497,0.03648195,0.121905,0.00895989,0.29411765,0.00000000,0.00002288,0.00071679,0.00011248,1.00000530,0.99999799,1.00000792,0,0,0,0,102,1
