# seed_hash: 0000000C5C4F12C3
# sample_index: 43
# arrangement: copper_decomposition_cold_strong
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 59.6323
# g_steric_drawn: 0.633941
# g_elec_drawn: -0.155685
# g_disp_drawn: 1.08218
# temperature_K: 285.751
# dt_drawn: 0.425897
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42708657,58187279702.13850403,2603266.07541881,4299776.43780667,0.212948,0.00000001,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.02987164,48266437473.37354279,0.03899045,0.07620803,0.212948,0.00948425,0.25000000,0.00000000,0.00000203,0.00056905,0.00000813,1.00000129,0.99999968,1.00000220,0,0,0,0,24,0
2,-0.00000000,39558748497.36867523,0.00401173,0.00802933,0.212948,0.00000000,0.00000000,0.00000000,0.00000202,0.00000000,0.00000003,1.00000128,0.99999969,1.00000219,0,0,0,0,24,1
