# seed_hash: 00000015A1CB2DC6
# sample_index: 153
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 41.9586
# g_steric_drawn: 0.611508
# g_elec_drawn: -0.138558
# g_disp_drawn: 1.11188
# temperature_K: 778.259
# dt_drawn: 0.48184
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42713690,74477282941.34547424,2603266.07541881,4299776.43780667,0.240920,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03474266,61778854118.71351624,0.03899694,0.07622585,0.240920,0.01389862,0.25000000,0.00000000,0.00000477,0.00083392,0.00001914,1.00000292,0.99999934,1.00000531,0,0,0,0,24,0
2,-0.00000000,50633391701.61196899,0.00478074,0.00957305,0.240920,0.00000000,0.00000000,0.00000000,0.00000475,0.00000000,0.00000011,1.00000290,0.99999934,1.00000528,0,0,0,0,24,1
