# seed_hash: 000000013C753CE3
# sample_index: 45
# arrangement: benzene_nitration_cold_strong
# equation: C6H6 + HNO3 -> C6H5NO2 + H2O  [H2SO4 catalyst]
# tau_drawn: 126.531
# g_steric_drawn: 0.333545
# g_elec_drawn: -0.230118
# g_disp_drawn: 0.967055
# temperature_K: 232.985
# dt_drawn: 0.484889
# N_beads: 41
# total_mass_amu: 380.324
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.00000000,460426436386614528.00000000,1737637897.04421449,3131428325.87375069,0.242445,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,41,0
1,-0.00000000,0.00000000,0.00000000,0.00000000,0.121222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,41,1
