# seed_hash: 000000163FD62DBA
# sample_index: 44
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 58.9113
# g_steric_drawn: 0.656066
# g_elec_drawn: -0.256994
# g_disp_drawn: 0.998221
# temperature_K: 687.639
# dt_drawn: 0.480937
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42713602,74198509262.59460449,2603266.07541881,4299776.43780667,0.240468,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03465158,61547614380.34268951,0.03899683,0.07622555,0.240468,0.01383087,0.25000000,0.00000000,0.00000338,0.00082985,0.00001355,1.00000222,0.99999913,1.00000337,0,0,0,0,24,0
2,-0.00000000,50443870129.91596222,0.00476625,0.00954394,0.240468,0.00000000,0.00000000,0.00000000,0.00000337,0.00000000,0.00000006,1.00000221,0.99999913,1.00000336,0,0,0,0,24,1
