# seed_hash: 000000114E3C52D9
# sample_index: 73
# arrangement: copper_decomposition_hot_strong_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 56.4577
# g_steric_drawn: 0.530581
# g_elec_drawn: -0.172178
# g_disp_drawn: 1.11993
# temperature_K: 492.642
# dt_drawn: 0.488915
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42714384,76680655506.17085266,2603266.07541881,4299776.43780667,0.244458,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03547236,63606526976.66202545,0.03899782,0.07622826,0.244458,0.01441859,0.25000000,0.00000000,0.00000374,0.00086512,0.00001498,1.00000198,0.99999936,1.00000419,0,0,0,0,24,0
2,-0.00000000,52131332259.45435333,0.00489670,0.00980599,0.244458,0.00000000,0.00000000,0.00000000,0.00000372,0.00000000,0.00000006,1.00000197,0.99999936,1.00000417,0,0,0,0,24,1
