# seed_hash: 00000011EC5FB50D
# sample_index: 38
# arrangement: copper_decomposition_hot_strong_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 71.0394
# g_steric_drawn: 0.592617
# g_elec_drawn: -0.125144
# g_disp_drawn: 1.165
# temperature_K: 552.156
# dt_drawn: 0.52191
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42717767,87379563813.72540283,2603266.07541881,4299776.43780667,0.260955,0.00000003,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03927589,72481132620.38693237,0.03900208,0.07623998,0.260955,0.01645118,0.25000000,0.00000000,0.00000362,0.00098707,0.00001450,1.00000214,0.99999955,1.00000422,0,0,0,0,24,0
2,-0.00000000,59404855721.47110748,0.00550605,0.01103064,0.260955,0.00000000,0.00000000,0.00000000,0.00000361,0.00000000,0.00000005,1.00000214,0.99999955,1.00000420,0,0,0,0,24,1
