# seed_hash: 000000013C5B37F9
# sample_index: 87
# arrangement: benzene_nitration_cold_strong
# equation: C6H6 + HNO3 -> C6H5NO2 + H2O  [H2SO4 catalyst]
# tau_drawn: 120.494
# g_steric_drawn: 0.395494
# g_elec_drawn: -0.237598
# g_disp_drawn: 0.922158
# temperature_K: 280.855
# dt_drawn: 0.525962
# N_beads: 41
# total_mass_amu: 380.324
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.00000000,541731227478151040.00000000,1737637897.04421449,3131428325.87375069,0.262981,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,41,0
1,-0.00000000,0.00000000,0.00000000,0.00000000,0.131491,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,41,1
