# seed_hash: 000000181A371004
# sample_index: 111
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 57.7488
# g_steric_drawn: 0.611433
# g_elec_drawn: -0.0925301
# g_disp_drawn: 1.05036
# temperature_K: 768.123
# dt_drawn: 0.465945
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42712174,69644685830.48612976,2603266.07541881,4299776.43780667,0.232972,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03320251,57770264285.65580750,0.03899502,0.07622056,0.232972,0.01267095,0.25000000,0.00000000,0.00000306,0.00076026,0.00001227,1.00000187,0.99999972,1.00000322,0,0,0,0,24,0
2,-0.00000000,47347994186.93111420,0.00453683,0.00908322,0.232972,0.00000000,0.00000000,0.00000000,0.00000305,0.00000000,0.00000005,1.00000186,0.99999972,1.00000320,0,0,0,0,24,1
