# seed_hash: 00000013C6BDE6C0
# sample_index: 134
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 59.6777
# g_steric_drawn: 0.605773
# g_elec_drawn: -0.175404
# g_disp_drawn: 1.14236
# temperature_K: 702.794
# dt_drawn: 0.512833
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42716812,84366645199.20101929,2603266.07541881,4299776.43780667,0.256416,0.00000003,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03815948,69981958891.86294556,0.03900088,0.07623668,0.256416,0.01597354,0.25000000,0.00000000,0.00000411,0.00095841,0.00001646,1.00000249,0.99999928,1.00000469,0,0,0,0,24,0
2,-0.00000000,57356562994.22547913,0.00532638,0.01066944,0.256416,0.00000000,0.00000000,0.00000000,0.00000409,0.00000000,0.00000007,1.00000248,0.99999928,1.00000467,0,0,0,0,24,1
