# seed_hash: 00000006CC70B0C3
# sample_index: 30
# arrangement: thorium_oxalate_cold_strong
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 76.0407
# g_steric_drawn: 0.521869
# g_elec_drawn: -0.481156
# g_disp_drawn: 0.513779
# temperature_K: 263.339
# dt_drawn: 0.510078
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,0.65418173,1494375855053789316767547392.00000000,122006643111767.09375000,615074962522053.25000000,0.255039,0.01084712,0.21568627,0.00000000,0.00000291,0.00086777,0.00013738,1.00000152,0.99999860,1.00000149,0,0,0,0,102,0
1,-0.00000000,1217565728487397000166244352.00000000,0.84033301,6.00167389,0.255039,0.00000000,0.00000000,0.00000000,0.00000290,0.00000000,0.00000046,1.00000151,0.99999861,1.00000149,0,0,0,0,102,0
2,-0.00000000,0.00000000,0.00000000,0.00000000,0.127519,0.00000000,0.00000000,0.00000000,0.00000289,0.00000000,0.00000023,1.00000151,0.99999861,1.00000149,0,0,0,0,102,1
