# seed_hash: 0000000D98A9111B
# sample_index: 177
# arrangement: copper_decomposition_std_mod
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 37.9918
# g_steric_drawn: 0.349036
# g_elec_drawn: -0.140943
# g_disp_drawn: 0.530436
# temperature_K: 261.319
# dt_drawn: 0.52188
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42717764,87369727828.72331238,2603266.07541881,4299776.43780667,0.260940,0.00000003,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03927218,72472973812.85424805,0.03900208,0.07623997,0.260940,0.01644975,0.25000000,0.00000000,0.00000676,0.00098698,0.00002706,1.00000236,0.99999905,1.00000358,0,0,0,0,24,0
2,-0.00000000,59398168862.45490265,0.00550544,0.01102941,0.260940,0.00000000,0.00000000,0.00000000,0.00000671,0.00000000,0.00000019,1.00000234,0.99999905,1.00000356,0,0,0,0,24,1
