# seed_hash: 0000000ED50FF9BC
# sample_index: 98
# arrangement: copper_decomposition_hot_weak
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 15.0566
# g_steric_drawn: 0.187468
# g_elec_drawn: -0.0285803
# g_disp_drawn: 0.20596
# temperature_K: 551.389
# dt_drawn: 0.495488
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42715038,78756353987.23515320,2603266.07541881,4299776.43780667,0.247744,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03617601,65328294393.54196930,0.03899865,0.07623054,0.247744,0.01488096,0.25000000,0.00000000,0.00001457,0.00089286,0.00005839,1.00000273,0.99999958,1.00000300,0,0,0,0,24,0
2,-0.00000000,53542473524.16738129,0.00500880,0.01003120,0.247744,0.00000000,0.00000000,0.00000000,0.00001433,0.00000000,0.00000095,1.00000269,0.99999959,1.00000295,0,0,0,0,24,1
