# seed_hash: 0000000808F10EFB
# sample_index: 52
# arrangement: thorium_oxalate_std_mod
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 35.5686
# g_steric_drawn: 0.194971
# g_elec_drawn: -0.169986
# g_disp_drawn: 0.271504
# temperature_K: 269.607
# dt_drawn: 0.492182
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,0.51502269,1391355342750701102341029888.00000000,122006643111767.09375000,615074962522053.25000000,0.246091,0.01130259,0.23529412,0.00000000,0.00000623,0.00090421,0.00029810,1.00000122,0.99999894,1.00000169,0,0,0,0,102,0
1,0.15143268,0.10928213,0.75543253,5.39596212,0.123045,0.01098700,0.23529412,0.00000000,0.00000925,0.00087896,0.00014383,1.00000180,0.99999843,1.00000251,0,0,0,0,102,0
2,-0.21508147,0.30931909,0.51551562,3.68249007,0.123045,0.01046227,0.25490196,0.00000000,0.00001211,0.00083698,0.00013594,1.00000236,0.99999794,1.00000329,0,0,0,0,102,0
3,-0.41895999,0.45031512,0.26254683,1.87561831,0.123045,0.00984194,0.27450980,0.00000000,0.00001478,0.00078736,0.00012672,1.00000288,0.99999749,1.00000401,0,0,0,0,102,0
4,-0.49253854,0.51352007,0.10382559,0.74128677,0.123045,0.00919930,0.27450980,0.00000000,0.00001727,0.00073594,0.00011719,1.00000337,0.99999706,1.00000469,0,0,0,0,102,0
5,-0.49802080,0.53241113,0.02490432,0.17360211,0.123045,0.00858037,0.27450980,0.00000000,0.00001959,0.00068643,0.00010793,1.00000382,0.99999667,1.00000532,0,0,0,0,102,1
