# seed_hash: 0000000ED5633F5C
# sample_index: 130
# arrangement: copper_decomposition_hot_weak
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 13.4609
# g_steric_drawn: 0.189278
# g_elec_drawn: -0.0207468
# g_disp_drawn: 0.210399
# temperature_K: 544.556
# dt_drawn: 0.478978
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42713412,73595320331.14916992,2603266.07541881,4299776.43780667,0.239489,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03445546,61047275640.71175385,0.03899659,0.07622489,0.239489,0.01368287,0.25000000,0.00000000,0.00001448,0.00082097,0.00005802,1.00000274,0.99999970,1.00000305,0,0,0,0,24,0
2,-0.00000000,50033797923.49446106,0.00473513,0.00948143,0.239489,0.00000000,0.00000000,0.00000000,0.00001422,0.00000000,0.00000102,1.00000269,0.99999970,1.00000299,0,0,0,0,24,1
