# seed_hash: 000000101189BA91
# sample_index: 71
# arrangement: copper_decomposition_hot_strong
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 61.6917
# g_steric_drawn: 0.693217
# g_elec_drawn: -0.180307
# g_disp_drawn: 1.13096
# temperature_K: 582.784
# dt_drawn: 0.465051
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42712090,69377613799.99996948,2603266.07541881,4299776.43780667,0.232525,0.00000002,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03311976,57548730583.14054108,0.03899491,0.07622027,0.232525,0.01260019,0.25000000,0.00000000,0.00000284,0.00075601,0.00001140,1.00000197,0.99999949,1.00000322,0,0,0,0,24,0
2,-0.00000000,47166427465.60253906,0.00452376,0.00905698,0.232525,0.00000000,0.00000000,0.00000000,0.00000283,0.00000000,0.00000004,1.00000196,0.99999949,1.00000320,0,0,0,0,24,1
