# seed_hash: 000000163F9A3885
# sample_index: 141
# arrangement: copper_decomposition_hot_strong_ext_ext_ext_ext_ext_ext_ext_ext_ext_ext
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 65.0997
# g_steric_drawn: 0.592356
# g_elec_drawn: -0.268865
# g_disp_drawn: 1.13377
# temperature_K: 779.93
# dt_drawn: 0.53969
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42719687,93434554874.82414246,2603266.07541881,4299776.43780667,0.269845,0.00000003,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.04163409,77503655245.95707703,0.03900450,0.07624660,0.269845,0.01735384,0.25000000,0.00000000,0.00000431,0.00104123,0.00001725,1.00000255,0.99999884,1.00000488,0,0,0,0,24,0
2,-0.00000000,63521252438.71335602,0.00588779,0.01179838,0.269845,0.00000000,0.00000000,0.00000000,0.00000429,0.00000000,0.00000007,1.00000254,0.99999885,1.00000486,0,0,0,0,24,1
