# seed_hash: 0000000F73539B98
# sample_index: 93
# arrangement: copper_decomposition_hot_mod
# equation: 2 Cu(NO3)2 -> 2 CuO(s) + 4 NO2(g) + O2(g)
# tau_drawn: 27.575
# g_steric_drawn: 0.348834
# g_elec_drawn: -0.184837
# g_disp_drawn: 0.596774
# temperature_K: 532.756
# dt_drawn: 0.513228
# N_beads: 24
# total_mass_amu: 558.228
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.42716854,84496771812.06607056,2603266.07541881,4299776.43780667,0.256614,0.00000003,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,0,24,0
1,-0.03820694,70089897143.37033081,0.03900093,0.07623682,0.256614,0.01599585,0.25000000,0.00000000,0.00000889,0.00095975,0.00003561,1.00000310,0.99999836,1.00000531,0,0,0,0,24,0
2,-0.00000000,57445027902.59213257,0.00533402,0.01068479,0.256614,0.00000000,0.00000000,0.00000000,0.00000881,0.00000000,0.00000033,1.00000307,0.99999837,1.00000526,0,0,0,0,24,1
