# seed_hash: 000000062E524325
# sample_index: 195
# arrangement: thorium_oxalate_cold_mod
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 39.2786
# g_steric_drawn: 0.359012
# g_elec_drawn: -0.275423
# g_disp_drawn: 0.411319
# temperature_K: 260.595
# dt_drawn: 0.514038
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,0.41702472,1517669370945007833946521600.00000000,122006643111767.09375000,615074962522053.25000000,0.257019,0.01069666,0.21568627,0.00000000,0.00000558,0.00085573,0.00026309,1.00000200,0.99999846,1.00000230,0,0,0,0,102,0
1,-0.00000000,1236547235372283355683880960.00000000,0.68508560,4.89322339,0.257019,0.00000000,0.00000000,0.00000000,0.00000554,0.00000000,0.00000172,1.00000199,0.99999847,1.00000228,0,0,0,0,102,0
2,-0.00000000,0.00000000,0.00000000,0.00000000,0.128509,0.00000000,0.00000000,0.00000000,0.00000553,0.00000000,0.00000085,1.00000198,0.99999848,1.00000227,0,0,0,0,102,1
