gen,strategy,rms,max_pct,noble_rms,halogen_rms,mono_breaks,n_above_20,elapsed_s,is_best
126,Fresh,0,0,0,0,0,0,0.329904,0
127,Explore,0,0,0,0,0,0,0.36491,0
128,Refine,0,0,0,0,0,0,0.515055,0
129,Block,0,0,0,0,0,0,0.356488,0
130,Shell,0,0,0,0,0,0,0.343921,0
131,Weighted,0,0,0,0,0,0,0.322353,0
132,Fresh,0,0,0,0,0,0,0.336816,0
133,Explore,0,0,0,0,0,0,0.34956,0
134,Refine,0,0,0,0,0,0,0.50741,0
135,Block,0,0,0,0,0,0,0.338376,0
136,Shell,0,0,0,0,0,0,0.36525,0
137,Weighted,0,0,0,0,0,0,0.317355,0
138,Fresh,0,0,0,0,0,0,0.356717,0
139,Explore,0,0,0,0,0,0,0.325102,0
140,Refine,0,0,0,0,0,0,0.523835,0
141,Block,0,0,0,0,0,0,0.337439,0
142,Shell,0,0,0,0,0,0,0.336321,0
143,Weighted,0,0,0,0,0,0,0.330258,0
144,Fresh,0,0,0,0,0,0,0.330058,0
145,Explore,0,0,0,0,0,0,0.313729,0
146,Refine,0,0,0,0,0,0,0.507144,0
147,Block,0,0,0,0,0,0,0.337379,0
148,Shell,0,0,0,0,0,0,0.336847,0
149,Weighted,0,0,0,0,0,0,0.388174,0
150,Fresh,0,0,0,0,0,0,0.329719,0
151,Explore,0,0,0,0,0,0,0.303214,0
152,Refine,0,0,0,0,0,0,0.530038,0
153,Block,0,0,0,0,0,0,0.352087,0
154,Shell,0,0,0,0,0,0,0.344534,0
155,Weighted,0,0,0,0,0,0,0.352453,0
156,Fresh,0,0,0,0,0,0,0.373574,0
157,Explore,0,0,0,0,0,0,0.370026,0
158,Refine,0,0,0,0,0,0,0.500012,0
159,Block,0,0,0,0,0,0,0.350621,0
160,Shell,0,0,0,0,0,0,0.357144,0
161,Weighted,0,0,0,0,0,0,0.364252,0
162,Fresh,0,0,0,0,0,0,0.33973,0
163,Explore,0,0,0,0,0,0,0.316297,0
164,Refine,0,0,0,0,0,0,0.47592,0
165,Block,0,0,0,0,0,0,0.367791,0
166,Shell,0,0,0,0,0,0,0.340043,0
167,Weighted,0,0,0,0,0,0,0.321136,0
168,Fresh,0,0,0,0,0,0,0.328164,0
169,Explore,0,0,0,0,0,0,0.338589,0
170,Refine,0,0,0,0,0,0,0.53467,0
171,Block,0,0,0,0,0,0,0.361806,0
172,Shell,0,0,0,0,0,0,0.33932,0
173,Weighted,0,0,0,0,0,0,0.345894,0
174,Fresh,0,0,0,0,0,0,0.3188,0
175,Explore,0,0,0,0,0,0,0.327135,0
176,Refine,0,0,0,0,0,0,0.49469,0
177,Block,0,0,0,0,0,0,0.351425,0
178,Shell,0,0,0,0,0,0,0.339447,0
179,Weighted,0,0,0,0,0,0,0.320397,0
180,Fresh,0,0,0,0,0,0,0.317456,0
181,Explore,0,0,0,0,0,0,0.354335,0
182,Refine,0,0,0,0,0,0,0.495594,0
183,Block,0,0,0,0,0,0,0.340233,0
184,Shell,0,0,0,0,0,0,0.349779,0
185,Weighted,0,0,0,0,0,0,0.324896,0
186,Fresh,0,0,0,0,0,0,0.298447,0
187,Explore,0,0,0,0,0,0,0.314362,0
188,Refine,0,0,0,0,0,0,0.502346,0
189,Block,0,0,0,0,0,0,0.342253,0
190,Shell,0,0,0,0,0,0,0.337501,0
191,Weighted,0,0,0,0,0,0,0.336741,0
192,Fresh,0,0,0,0,0,0,0.317274,0
193,Explore,0,0,0,0,0,0,0.322838,0
194,Refine,0,0,0,0,0,0,0.488533,0
195,Block,0,0,0,0,0,0,0.337534,0
196,Shell,0,0,0,0,0,0,0.339974,0
197,Weighted,0,0,0,0,0,0,0.32944,0
198,Fresh,0,0,0,0,0,0,0.321658,0
199,Explore,0,0,0,0,0,0,0.326222,0
