step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
2,2,-1.793509,2.306546,-2.309947,0.087007,0.000589,-0.000963,1.353162,7.0000,0.025657,0.135316,0.350438,0.017511,0.242877,1.005253,0.996498,1.014009,0.00660009,-0.00000480,0.00000782,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
2,3,-1.729848,2.077750,1.910157,0.084102,0.000970,0.000891,1.514872,7.0000,0.165207,0.151487,0.443471,0.021463,0.297479,1.006439,0.995707,1.017170,0.00639495,-0.00000786,-0.00000724,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
2,4,2.440941,-2.519038,-2.530214,0.030298,-0.000469,-0.000753,1.176044,7.0000,-0.173653,0.117604,0.217565,0.012065,0.167584,1.003620,0.997587,1.009652,0.00223485,0.00000380,0.00000611,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
2,5,2.220878,-2.247755,1.913637,0.034035,-0.000934,0.000655,1.493465,7.0000,-0.272429,0.149347,0.151714,0.010830,0.150530,1.003249,0.997834,1.008664,0.00247571,0.00000760,-0.00000532,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
2,6,2.657102,2.382660,-2.014513,0.089356,0.000533,-0.000875,1.316764,7.0000,0.140610,0.131676,0.427073,0.020276,0.279375,1.006083,0.995945,1.016221,0.00665710,-0.00000435,0.00000711,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2,7,2.625284,1.989894,2.201101,0.084733,0.000810,0.001009,1.407166,6.0000,-0.085254,0.140717,0.276497,0.017267,0.208607,1.005180,0.996547,1.013813,0.00630193,-0.00000665,-0.00000821,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
3,0,-2.232811,-2.385942,-2.458753,0.042191,-0.000744,-0.000957,1.133095,6.0000,-0.166487,0.113309,0.222342,0.018409,0.167826,1.005523,0.996318,1.014728,0.00224709,0.00000659,0.00000836,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
3,1,-1.715628,-2.096310,1.994231,0.046424,-0.001263,0.001010,1.428089,7.0000,-0.160221,0.142809,0.226519,0.017807,0.184664,1.005342,0.996439,1.014245,0.00249977,0.00001110,-0.00000880,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
3,2,-1.276665,2.310034,-2.315665,0.118927,0.000797,-0.001315,1.368976,7.0000,0.025657,0.136898,0.350438,0.023095,0.243668,1.006929,0.995381,1.018476,0.00627635,-0.00000698,0.00001144,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
3,3,-1.230233,2.083521,1.915444,0.114977,0.001327,0.001214,1.530731,7.0000,0.165207,0.153073,0.443471,0.028297,0.298272,1.008489,0.994341,1.022638,0.00608429,-0.00001154,-0.00001057,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
3,4,2.620862,-2.521832,-2.534686,0.041376,-0.000644,-0.001028,1.198200,7.0000,-0.173653,0.119820,0.217565,0.015932,0.168692,1.004780,0.996814,1.012746,0.00211833,0.00000559,0.00000894,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
3,5,2.422958,-2.253301,1.917525,0.046458,-0.001270,0.000894,1.512827,7.0000,-0.272429,0.151283,0.151714,0.014303,0.151498,1.004291,0.997139,1.011443,0.00234254,0.00001109,-0.00000778,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
3,6,3.187887,2.385816,-2.019704,0.122128,0.000719,-0.001191,1.268330,7.0000,0.140610,0.126833,0.427073,0.026613,0.276953,1.007984,0.994677,1.021291,0.00632425,-0.00000631,0.00001038,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
