step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
2,2,-1.793477,2.306522,-2.309898,0.087014,0.000584,-0.000952,1.353229,7.0000,0.025657,0.135323,0.350438,0.017511,0.242880,1.000000,1.000000,1.000000,0.00660002,-0.00000476,0.00000774,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
2,3,-1.729806,2.077705,1.910111,0.084110,0.000960,0.000881,1.514955,7.0000,0.165207,0.151495,0.443471,0.021463,0.297483,1.000000,1.000000,1.000000,0.00639484,-0.00000779,-0.00000717,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
2,4,2.440925,-2.519021,-2.530192,0.030294,-0.000465,-0.000748,1.176084,7.0000,-0.173653,0.117608,0.217565,0.012065,0.167586,1.000000,1.000000,1.000000,0.00223489,0.00000377,0.00000608,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
2,5,2.220846,-2.247718,1.913618,0.034028,-0.000927,0.000651,1.493529,7.0000,-0.272429,0.149353,0.151714,0.010830,0.150533,1.000000,1.000000,1.000000,0.00247579,0.00000754,-0.00000529,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
2,6,2.657067,2.382639,-2.014468,0.089349,0.000528,-0.000865,1.316828,7.0000,0.140610,0.131683,0.427073,0.020276,0.279378,1.000000,1.000000,1.000000,0.00665713,-0.00000432,0.00000705,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2,7,2.625242,1.989863,2.201050,0.084724,0.000803,0.000998,1.407233,6.0000,-0.085254,0.140723,0.276497,0.017267,0.208610,1.000000,1.000000,1.000000,0.00630196,-0.00000661,-0.00000814,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
3,0,-2.232764,-2.385887,-2.458690,0.042198,-0.000736,-0.000947,1.133187,6.0000,-0.166487,0.113319,0.222342,0.018410,0.167830,1.000000,1.000000,1.000000,0.00224709,0.00000653,0.00000828,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
3,1,-1.715547,-2.096201,1.994165,0.046437,-0.001247,0.001000,1.428239,7.0000,-0.160221,0.142824,0.226519,0.017807,0.184672,1.000000,1.000000,1.000000,0.00249978,0.00001097,-0.00000872,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
3,2,-1.276587,2.309977,-2.315546,0.118939,0.000788,-0.001296,1.369138,7.0000,0.025657,0.136914,0.350438,0.023096,0.243676,1.000000,1.000000,1.000000,0.00627620,-0.00000691,0.00001130,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
3,3,-1.230136,2.083410,1.915332,0.114991,0.001310,0.001197,1.530937,7.0000,0.165207,0.153094,0.443471,0.028298,0.298282,1.000000,1.000000,1.000000,0.00608407,-0.00001141,-0.00001044,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
3,4,2.620824,-2.521790,-2.534631,0.041370,-0.000637,-0.001020,1.198304,7.0000,-0.173653,0.119830,0.217565,0.015932,0.168697,1.000000,1.000000,1.000000,0.00211841,0.00000554,0.00000888,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
3,5,2.422881,-2.253213,1.917479,0.046447,-0.001257,0.000887,1.512983,7.0000,-0.272429,0.151298,0.151714,0.014304,0.151506,1.000000,1.000000,1.000000,0.00234272,0.00001099,-0.00000772,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
3,6,3.187800,2.385764,-2.019596,0.122115,0.000711,-0.001175,1.268481,7.0000,0.140610,0.126848,0.427073,0.026614,0.276961,1.000000,1.000000,1.000000,0.00632430,-0.00000625,0.00001026,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
3,7,3.128528,1.994594,2.206964,0.115811,0.001069,0.001355,1.375580,6.0000,-0.085254,0.137558,0.276497,0.021952,0.207028,1.000000,1.000000,1.000000,0.00598802,-0.00000946,-0.00001183,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
4,0,-1.994293,-2.389985,-2.464022,0.052901,-0.000884,-0.001176,1.074038,6.0000,-0.166487,0.107404,0.222342,0.022026,0.164873,1.000000,1.000000,1.000000,0.00213307,0.00000820,0.00001066,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
